Year,Driver,Stint,Compound,a,b,c,Laps
2025,DOO,1.0,SOFT,0.044297619047619474,-0.27748809523810114,63.432428571428616,7
2025,DOO,2.0,MEDIUM,-0.0023991228070178493,0.08712048503612185,61.52200000000003,17
2025,DOO,3.0,HARD,-0.00183352082699913,0.050218020674979665,59.901368577075075,24
